driverId,week,hours-logged,miles-logged
604,26,75,500
820,38,63,2800
361,51,56,500
351,7,56,1100
731,32,78,3800
441,28,77,3700
873,30,78,3000
915,11,70,1000
882,45,58,3000
908,20,77,800
355,28,73,2600
52,4,79,3500
804,8,61,1200
559,6,77,400
340,8,64,1900
106,37,74,1000
845,29,52,3400
439,34,77,1300
601,50,50,3400
275,1,68,3500
658,51,78,3700
809,28,67,2800
874,27,64,1500
722,1,61,2900
703,23,66,400
228,11,74,700
510,39,67,2300
508,28,54,0
638,43,80,1400
555,40,58,2800
870,47,76,300
188,10,68,3200
416,39,50,1600
863,16,64,0
707,9,75,100
80,13,52,800
420,42,52,2600
844,35,57,3300
900,36,65,0
803,5,63,4000
796,29,56,3700
291,36,62,900
618,5,52,2900
923,52,56,2100
641,50,66,2000
910,12,54,3100
531,38,52,1300
83,45,50,1400
535,26,78,2200
812,52,60,1600
1007,52,62,2300
795,18,53,800
953,37,80,3000
19,25,63,1300
303,25,52,1500
501,7,74,400
970,2,66,1300
458,26,55,2000
603,17,78,1600
450,25,59,3900
702,28,79,1800
946,9,57,500
114,31,72,1000
442,11,72,1500
536,10,73,2800
734,12,50,1400
853,30,75,3600
867,27,52,3000
399,8,76,3900
825,38,70,400
397,26,75,2900
881,48,61,1400
534,10,64,2900
936,46,60,2800
220,11,62,1800
54,51,70,3400
525,30,50,3600
322,3,70,3900
245,4,58,1800
519,12,60,2800
340,47,59,1400
95,12,69,200
601,48,58,1300
403,26,55,3300
325,7,52,1900
407,11,57,800
475,50,80,700
847,45,63,0
144,9,63,1200
507,14,73,1900
130,2,57,3100
661,48,78,800
272,25,65,1600
298,40,56,1100
703,26,70,2200
313,48,50,100
720,45,61,0
842,13,60,1700
518,22,76,1800
289,26,56,1100
382,1,69,3000
540,20,53,900
937,25,66,100
637,31,52,700
147,6,78,2900
15,21,61,3400
206,43,51,500
902,27,77,3200
364,9,68,1000
65,46,73,2900
900,46,50,1800
452,36,63,1900
554,49,69,3100
667,31,57,600
312,2,55,0
920,33,80,2800
837,13,52,3900
365,26,77,1700
892,50,73,2000
501,31,76,3700
552,20,67,800
772,12,76,3800
231,47,51,1200
851,18,73,2600
244,32,67,2700
272,49,64,1500
367,41,61,900
205,52,78,2200
562,32,65,500
587,31,71,500
767,51,65,400
671,40,53,1400
220,23,61,100
720,3,64,2200
143,41,51,3200
884,32,75,3100
514,44,61,2300
400,48,58,3600
881,46,67,3000
